experiment_id,timestamp,time_h,process_phase,calibration_include,lot,reactor,condition,replicate,protocol,yeast,initial_volume_l,sample_id,state,observed_value,unit,observation_operator,source_column,censoring_type,lower_bound,upper_bound
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,primary_amino_nitrogen,40.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-27 08:00:00,40.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-04,pyruvic_acid,63.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,acetaldehyde,145.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,ammonium_nitrogen,25.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,brix,12.8,degree_Brix,identity,Brix,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,cell_budding,27.4,percent,identity,Oculyze Budding,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,cell_concentration,51.15,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,cell_viability,48.2,percent,identity,Oculyze Viability,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,density,1049.9,kg/m^3,identity,Densidad,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,ethanol,3.5900000000000003,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,fructose,63.17,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,glucose,51.24,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,glycerol,3.49,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,primary_amino_nitrogen,33.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-27 16:00:00,48.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-05,pyruvic_acid,48.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,acetaldehyde,142.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,ammonium_nitrogen,20.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,brix,9.1,degree_Brix,identity,Brix,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,cell_budding,16.75,percent,identity,Oculyze Budding,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,cell_concentration,59.6,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,cell_viability,51.31,percent,identity,Oculyze Viability,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,density,1034.7,kg/m^3,identity,Densidad,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,ethanol,5.57,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,fructose,50.290000000000006,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,glucose,31.58,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,glycerol,4.75,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,primary_amino_nitrogen,39.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-28 08:00:00,64.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-06,pyruvic_acid,21.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,acetaldehyde,141.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,ammonium_nitrogen,3.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,brix,7.5,degree_Brix,identity,Brix,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,cell_budding,13.13,percent,identity,Oculyze Budding,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,cell_concentration,61.44,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,cell_viability,53.07,percent,identity,Oculyze Viability,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,density,1027.6,kg/m^3,identity,Densidad,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,ethanol,6.13,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,fructose,47.58,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,glucose,27.41,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,glycerol,4.52,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,primary_amino_nitrogen,34.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-28 16:00:00,72.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-07,pyruvic_acid,20.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,acetaldehyde,128.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,ammonium_nitrogen,0.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,brix,5.0,degree_Brix,identity,Brix,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,cell_budding,11.76,percent,identity,Oculyze Budding,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,cell_concentration,61.72,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,cell_viability,60.4,percent,identity,Oculyze Viability,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,density,1017.9,kg/m^3,identity,Densidad,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,ethanol,7.7,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,fructose,33.67,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,glucose,14.07,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,glycerol,5.48,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,primary_amino_nitrogen,30.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-29 08:00:00,88.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-08,pyruvic_acid,15.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,acetaldehyde,127.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,ammonium_nitrogen,0.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,brix,4.1,degree_Brix,identity,Brix,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,cell_budding,6.93,percent,identity,Oculyze Budding,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,cell_concentration,52.07,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,cell_viability,50.23,percent,identity,Oculyze Viability,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,density,1013.3,kg/m^3,identity,Densidad,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,ethanol,8.219999999999999,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,fructose,29.07,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,glucose,10.78,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,glycerol,5.43,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,primary_amino_nitrogen,29.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-29 16:00:00,96.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-09,pyruvic_acid,2.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,acetaldehyde,124.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,ammonium_nitrogen,0.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,brix,1.9,degree_Brix,identity,Brix,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,cell_budding,18.97,percent,identity,Oculyze Budding,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,cell_concentration,21.66,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,cell_viability,21.47,percent,identity,Oculyze Viability,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,density,1005.9,kg/m^3,identity,Densidad,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,ethanol,9.3,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,fructose,16.8,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,glucose,3.65,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,glycerol,5.91,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,primary_amino_nitrogen,25.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-30 08:00:00,112.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-10,pyruvic_acid,35.0,mg/L,identity,Y15 Piruvic,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,acetaldehyde,127.0,mg/L,identity,Y15 Acetaldehido,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,ammonium_nitrogen,0.0,mg/L_N,identity,Y15 Amonio,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,brix,1.1,degree_Brix,identity,Brix,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,cell_budding,15.93,percent,identity,Oculyze Budding,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,cell_concentration,41.94,10^6_cells/mL,identity,Oculyze Concentration,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,cell_viability,41.55,percent,identity,Oculyze Viability,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,density,1001.7,kg/m^3,identity,Densidad,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,ethanol,9.73,percent_v/v,identity,Cf Alcolyzer Real (% v/v),observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,fructose,12.51,g/L,identity,Y15 Fructosa,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,glucose,2.33,g/L,identity,Y15 Glucosa,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,glycerol,5.77,g/L,identity,Y15 Glicerol,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,primary_amino_nitrogen,31.0,mg/L_N,identity,Y15 PAN,observed,,
26134,2026-03-30 16:00:00,120.0,active_process,True,Lote 1,TK-31,A,R1,A,Zymaflore X5,230,26134-P-11,pyruvic_acid,26.0,mg/L,identity,Y15 Piruvic,observed,,
