,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
gammaF0,11.66360092344993,-8.64973575603334,-17.190408752776793,-1.4967942035360302,-102.39269820076356,-8.062479491168217,1.058754664622141,-10.190890090786768,-0.2704877746411785,138.42906961093888,6.385894369553994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,52.513559667967826,-173.08345004714292,-20.600828370462967,-2.631915372032493,79.52577269933637,41.185987614751006,-22.618372692621893,-15.519381274160427,-3.8913343806405116,0.0,0.0,154.821483949723,9.749504371344214,160.4458709701233,-198.86396576791887,110.2527739738193,35.655592727109656,99.62472784077627,192.2468532791214,-0.4468096197002669,-544.4700576194434,50.66796190504493,-0.0004027199317164967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,0.8196648769125225,-8.390249338397297,-0.19843394716185425,0.07636230925139464,2.8929565861668376,1.021228564320826,-0.8776295396552902,-0.13790203058480466,0.006572673384808936,0.0,0.0,9.749504371344214,0.8206995606213049,13.55991176807923,-18.17485146300485,8.453901634265124,1.725879694232304,6.932275235045829,13.768520833449088,-0.0364629058437554,-41.265519244474284,2.232153963948395,-1.6945477332248327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,7.08136176402715,-131.42051352846852,-1.3326767672723125,1.866399018378175,47.04491607794957,17.581503264419435,-14.932558566376855,-3.62894414876137,1.1784940919948053,0.0,0.0,160.4458709701233,13.55991176807923,224.6297153303924,-303.51904848044336,136.1356678780844,28.01077778939225,111.30420443665543,221.28523771960562,-0.5885904792874473,-663.6539468989552,35.61947382997106,-0.0002712906974732236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,30.674682016858767,122.44561905152659,-12.716941512289182,-6.25797423272072,-43.84080887558843,-16.114744785723676,17.425638406935448,5.5560149274669755,-7.412394271458156,0.0,0.0,-198.86396576791887,-18.17485146300485,-303.51904848044336,425.5211368099325,-164.80143635325345,-29.971308528922005,-130.3959424185732,-261.9285191336985,0.7275967871341597,797.947862592797,-34.60170803727951,0.00026018290454845786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,366.49843588314013,-501.86184911662326,-53.89380280324237,-16.812585378099914,55.77469373527154,-32.91399375934799,5.981370935947619,62.8656502776017,-45.80241305308056,0.0,0.0,110.2527739738193,8.453901634265124,136.1356678780844,-164.80143635325345,444.40511217621383,137.35138683969018,393.83475950419904,764.7637686583978,-1.8255568836913945,-2187.644884944159,187.85552374108286,-0.001495829782915424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,211.16030497022223,-317.1746359502626,-60.572835416060684,-11.347345606862126,176.20006920273804,111.90246833129477,-48.30481612671952,-59.83382502238339,-19.694914411776896,0.0,0.0,35.655592727109656,1.725879694232304,28.01077778939225,-29.971308528922005,137.35138683969018,175.35467022888426,174.94961423890507,316.9388109357225,-0.39600375403903815,-682.2851384837917,208.85182209171342,-0.001861614266334264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,367.6839551527993,-516.7153509650028,-69.2503431076045,-17.49609847372838,129.32569699923206,35.23731737634119,-19.242824804839312,6.5296821069387185,-42.186968296513854,0.0,0.0,99.62472784077627,6.932275235045829,111.30420443665543,-130.3959424185732,393.83475950419904,174.94961423890507,395.5227837145942,741.1973019666303,-1.4664429149801013,-1979.6767243510699,268.06434115770855,-0.0021579551642158007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,695.2341490407634,-970.6420814479886,-122.25811892408478,-32.358031399519604,209.58065301873597,33.75264330082925,-24.791976025987573,40.08503358847284,-81.1090259036186,0.0,0.0,192.2468532791214,13.768520833449088,221.28523771960562,-261.9285191336985,764.7637686583978,316.9388109357225,741.1973019666303,1403.9838413349344,-2.9329957082027027,-3818.1060865154304,464.9062233908422,-0.003754778337225193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-1.3652018707217402,1.8320810577460724,0.16420918629777803,0.06350663783224157,0.008973703360846637,0.32490129210592517,-0.09789183721810275,-0.407540775364693,0.18496314343666204,0.0,0.0,-0.4468096197002669,-0.0364629058437554,-0.5885904792874473,0.7275967871341597,-1.8255568836913945,-0.39600375403903815,-1.4664429149801013,-2.9329957082027027,0.008007675933797172,8.838657804937478,-0.44823901250918036,3.4942050221603545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
