,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
qEF,25826.807434090304,594.0372001612045,-25516.146433554175,2968.3937863536503,3593.83301760831,-72136.36134441175,-2117.984214235418,-54388.717815039825,2824.495079554775,68117.23402690732,79030.3923198284,-9977.780191831107,-11109.355889482062,-2042.24085811287,6520.455745569343,334.6692538250004,6309.6230272254,665.9898583126525,18125.227341257916,271.44699760471224,6972.632731869768
iG,-64697.01566238455,-649.8332692317916,54681.16883863667,235.9431839482488,-502.1708749769244,-37698.12852247949,-9768.448483529548,-18696.1996522311,-4962.807707593978,4215.115661652007,-9977.780191831107,13083.517928226225,41099.45138259825,3441.9240312366205,-538.0623779608139,-68.510655957818,-1334.2206019818009,-136.738191358892,-3866.4762897467876,-57.13638292663469,-1520.1324590577167
iE,-275563.7157382936,-2430.100654685854,233253.92974587472,647.7798456660837,-30.29548346205133,-160734.5964074725,-46376.655222715526,-87109.6666788713,-17904.97600391134,-75.38342127052033,-11109.355889482062,41099.45138259825,176584.91203019288,15949.429959133055,-941.0062708287871,-254.7526324124403,-4840.9117260049225,-520.7317071758757,-14273.269849123304,-217.43602252706768,-5627.139871008396
Kd0,-23640.36959830912,-122.6903118953663,21502.453004515468,1.7838203394257546,-45.99775383812351,-10625.644981786116,-3916.1757294914096,-6163.729978398602,-1578.0795286468276,-1610.0185410632894,-2042.24085811287,3441.9240312366205,15949.429959133055,5203.227532355289,-222.1346130049503,-26.980516856169356,-663.0646923525619,-57.17479192667266,-2009.9673498808027,-24.281078079843095,-803.1063535335456
m0,2227.1118764996772,56.46183776908492,-2235.054798438419,345.3919523811197,298.0531543723725,-8382.088073017587,-23.035474623809314,-5389.982149946754,60.51824515144338,8994.371398454301,6520.455745569343,-538.0623779608139,-941.0062708287871,-222.1346130049503,658.5794790494177,33.970849119559695,671.543352210066,68.30267888956863,1944.6286945197874,27.98543208628326,751.8617209041627
k_EA_growth,556.8050737791401,18.880687614340133,-354.2766458036158,15.131376310996199,14.131645534510593,-312.1759241810727,54.990000403958426,-154.5751338057966,33.53281798153478,490.4289626155148,334.6692538250004,-68.510655957818,-254.7526324124403,-26.980516856169356,33.970849119559695,77.09259816912744,956.089098751737,-1.3525114064924877e-06,-8.740987055144867e-05,-2.3708591818622668e-07,-3.453090773959235e-05
k_EA_stationary,8660.785355072678,257.7991383314275,-6571.463960247945,212.3350694152332,190.55552196260882,-6247.86499588123,1068.0651469742882,-2995.9351060661247,624.0435360342741,9594.210472490839,6309.6230272254,-1334.2206019818009,-4840.9117260049225,-663.0646923525619,671.543352210066,956.089098751737,18242.448376754488,-0.00010609033765888852,-0.0010187624819666917,-1.3602858607802877e-06,-0.00038827437700771815
k_IAA_growth,1149.7277751100178,43.091281289841774,-692.6062864160809,26.100760086357013,24.16722057315181,-614.2638977073191,111.51026727770896,-303.69688238817685,68.16465967415017,968.2087025229291,665.9898583126525,-136.738191358892,-520.7317071758757,-57.17479192667266,68.30267888956863,-1.3525114064924877e-06,-0.00010609033765888852,109.95440815158341,1962.2110342111346,-1.2387702879766673e-06,-8.635521823534192e-05
k_IAA_stationary,25739.12660133566,853.1964671579991,-18768.402761732235,529.167989228015,468.06942354207325,-17740.269955060678,3139.048655911198,-8475.187845363502,1831.6935124455151,27425.796314766747,18125.227341257916,-3866.4762897467876,-14273.269849123304,-2009.9673498808027,1944.6286945197874,-8.740987055144867e-05,-0.0010187624819666917,1962.2110342111346,53756.56723465572,-0.000107310084189454,-2.283915109635264e-12
k_EO_growth,476.47040094043064,17.421447933569933,-290.4513814533254,10.62031128929511,9.85486174036368,-246.56194461415848,46.854417879216605,-121.06598636462104,28.169700154348767,396.31403115050716,271.44699760471224,-57.13638292663469,-217.43602252706768,-24.281078079843095,27.98543208628326,-2.3708591818622668e-07,-1.3602858607802877e-06,-1.2387702879766673e-06,-0.000107310084189454,48.156448858325675,809.8844320947428
k_EO_stationary,10094.48372779078,325.389289486952,-7413.882695471725,200.68321224845886,177.85136708765253,-6722.006610932657,1243.3135954035881,-3190.533539744233,716.3948147059208,10573.832078489388,6972.632731869768,-1520.1324590577167,-5627.139871008396,-803.1063535335456,751.8617209041627,-3.453090773959235e-05,-0.00038827437700771815,-8.635521823534192e-05,-2.283915109635264e-12,809.8844320947428,20971.354837939485
