sample_number,original_sample_id,sample_id,sample_type,lab_sample_id,experiment_id,analyte,reported_value,vial_loq_ug_l,vial_concentration_ug_l,result_status,dilution_factor,sample_concentration_ug_l,sample_basis_loq_ug_l,reported_basis,preparation_stock_ml,volume_transferred_to_analyst_ml,model_observation_type,censoring_lower_bound_ug_l,censoring_upper_bound_ug_l,sample_timestamp,time_h,total_condensate_ml,captured_mass_ug,captured_mass_upper_bound_ug
25,26159-P-05,26159-P-05,wine_mef,Lab-26-2057,26159,Etil Acetato,3022.12131077924,187.5,3022.12131077924,quantified,1,3022.12131077924,187.5,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
27,26159-P-09,26159-P-09,wine_mef,Lab-26-2059,26159,Etil Acetato,10265.9411306078,187.5,10265.9411306078,quantified,1,10265.9411306078,187.5,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
29,26159-P-11,26159-P-11,wine_mef,Lab-26-2061,26159,Etil Acetato,11552.9330030973,187.5,11552.9330030973,quantified,1,11552.9330030973,187.5,undiluted_wine_sample,,,observed,,,2026-04-12 08:00:00,139.0,,,
31,26159-P-12,26159-P-12,wine_mef,Lab-26-2063,26159,Etil Acetato,12029.7015225945,187.5,12029.7015225945,quantified,1,12029.7015225945,187.5,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
33,26159-P-15,26159-P-15,wine_mef,Lab-26-2065,26159,Etil Acetato,12083.5436704646,187.5,12083.5436704646,quantified,1,12083.5436704646,187.5,undiluted_wine_sample,,,observed,,,2026-04-15 08:00:00,211.0,,,
34,26210-P-01,26210-P-01,wine_mef,Lab-26-2066,26210,Etil Acetato,1197.1995205113,187.5,1197.1995205113,quantified,1,1197.1995205113,187.5,undiluted_wine_sample,,,observed,,,2026-04-17 16:00:00,0.0,,,
36,26210-P-05,26210-P-05,wine_mef,Lab-26-2068,26210,Etil Acetato,6858.48756275082,187.5,6858.48756275082,quantified,1,6858.48756275082,187.5,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
38,26210-P-08,26210-P-08,wine_mef,Lab-26-2070,26210,Etil Acetato,9414.920848812,187.5,9414.920848812,quantified,1,9414.920848812,187.5,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
40,26210-P-10,26210-P-10,wine_mef,Lab-26-2072,26210,Etil Acetato,9005.87846240339,187.5,9005.87846240339,quantified,1,9005.87846240339,187.5,undiluted_wine_sample,,,observed,,,2026-04-22 08:00:00,112.0,,,
42,26210-P-12,26210-P-12,wine_mef,Lab-26-2074,26210,Etil Acetato,10051.8761648533,187.5,10051.8761648533,quantified,1,10051.8761648533,187.5,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
44,26210-P-13,26210-P-13,wine_mef,Lab-26-2076,26210,Etil Acetato,11336.3165712386,187.5,11336.3165712386,quantified,1,11336.3165712386,187.5,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
46,26210-P-14,26210-P-14,wine_mef,Lab-26-2078,26210,Etil Acetato,9978.24529790257,187.5,9978.24529790257,quantified,1,9978.24529790257,187.5,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
47,26211-P-01,26211-P-01,wine_mef,Lab-26-2079,26211,Etil Acetato,882.793809441464,187.5,882.793809441464,quantified,1,882.793809441464,187.5,undiluted_wine_sample,,,observed,,,2026-04-17 16:00:00,0.0,,,
49,26211-P-05,26211-P-05,wine_mef,Lab-26-2081,26211,Etil Acetato,2789.95837276647,187.5,2789.95837276647,quantified,1,2789.95837276647,187.5,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
51,26211-P-08,26211-P-08,wine_mef,Lab-26-2083,26211,Etil Acetato,6618.37947530073,187.5,6618.37947530073,quantified,1,6618.37947530073,187.5,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
53,26211-P-10,26211-P-10,wine_mef,Lab-26-2085,26211,Etil Acetato,6235.95601385183,187.5,6235.95601385183,quantified,1,6235.95601385183,187.5,undiluted_wine_sample,,,observed,,,2026-04-22 08:00:00,112.0,,,
55,26211-P-12,26211-P-12,wine_mef,Lab-26-2087,26211,Etil Acetato,27465.5897825689,187.5,27465.5897825689,quantified,1,27465.5897825689,187.5,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
57,26211-P-13,26211-P-13,wine_mef,Lab-26-2089,26211,Etil Acetato,10401.1742731794,187.5,10401.1742731794,quantified,1,10401.1742731794,187.5,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
59,26211-P-14,26211-P-14,wine_mef,Lab-26-2091,26211,Etil Acetato,11727.8663765975,187.5,11727.8663765975,quantified,1,11727.8663765975,187.5,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
60,26212-P-01,26212-P-01,wine_mef,Lab-26-2092,26212,Etil Acetato,787.8732672282165,187.5,787.8732672282165,quantified,1,787.8732672282165,187.5,undiluted_wine_sample,,,observed,,,2026-04-17 16:00:00,0.0,,,
62,26212-P-05,26212-P-05,wine_mef,Lab-26-2094,26212,Etil Acetato,2521.42221858047,187.5,2521.42221858047,quantified,1,2521.42221858047,187.5,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
64,26212-P-06,26212-P-06,wine_mef,Lab-26-2096,26212,Etil Acetato,8156.66690562832,187.5,8156.66690562832,quantified,1,8156.66690562832,187.5,undiluted_wine_sample,,,observed,,,2026-04-20 08:00:00,64.0,,,
66,26212-P-08,26212-P-08,wine_mef,Lab-26-2098,26212,Etil Acetato,12388.4107745575,187.5,12388.4107745575,quantified,1,12388.4107745575,187.5,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
68,26212-P-11,26212-P-11,wine_mef,Lab-26-2100,26212,Etil Acetato,10672.109638039896,187.5,10672.109638039896,quantified,1,10672.109638039896,187.5,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
70,26212-P-12,26212-P-12,wine_mef,Lab-26-2102,26212,Etil Acetato,10439.6276245471,187.5,10439.6276245471,quantified,1,10439.6276245471,187.5,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
72,26212-P-13,26212-P-13,wine_mef,Lab-26-2104,26212,Etil Acetato,8922.531998137481,187.5,8922.531998137481,quantified,1,8922.531998137481,187.5,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
1,26157-P-01,26157-P-01,wine_mef,Lab-26-2033,26157,Isoamil Acetato,NQ,5.0,,NQ,1,,5.0,undiluted_wine_sample,,,left_censored,0.0,5.0,2026-04-06 13:00:00,0.0,,,
3,26157-P-05,26157-P-05,wine_mef,Lab-26-2035,26157,Isoamil Acetato,358.095895130861,5.0,358.095895130861,quantified,1,358.095895130861,5.0,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
5,26157-P-08,26157-P-08,wine_mef,Lab-26-2037,26157,Isoamil Acetato,1605.5334511929,5.0,1605.5334511929,quantified,1,1605.5334511929,5.0,undiluted_wine_sample,,,observed,,,2026-04-10 08:00:00,91.0,,,
7,26157-P-10,26157-P-10,wine_mef,Lab-26-2039,26157,Isoamil Acetato,1713.24136842909,5.0,1713.24136842909,quantified,1,1713.24136842909,5.0,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
9,26157-P-12,26157-P-12,wine_mef,Lab-26-2041,26157,Isoamil Acetato,1763.78804595075,5.0,1763.78804595075,quantified,1,1763.78804595075,5.0,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
11,26157-P-13,26157-P-13,wine_mef,Lab-26-2043,26157,Isoamil Acetato,1705.03030563037,5.0,1705.03030563037,quantified,1,1705.03030563037,5.0,undiluted_wine_sample,,,observed,,,2026-04-13 08:00:00,163.0,,,
12,26158-P-01,26158-P-01,wine_mef,Lab-26-2044,26158,Isoamil Acetato,NQ,5.0,,NQ,1,,5.0,undiluted_wine_sample,,,left_censored,0.0,5.0,2026-04-06 13:00:00,0.0,,,
14,26158-P-05,26158-P-05,wine_mef,Lab-26-2046,26158,Isoamil Acetato,499.735530099825,5.0,499.735530099825,quantified,1,499.735530099825,5.0,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
16,26158-P-08,26158-P-08,wine_mef,Lab-26-2048,26158,Isoamil Acetato,1480.85790062567,5.0,1480.85790062567,quantified,1,1480.85790062567,5.0,undiluted_wine_sample,,,observed,,,2026-04-10 08:00:00,91.0,,,
18,26158-P-10,26158-P-10,wine_mef,Lab-26-2050,26158,Isoamil Acetato,1682.34638418107,5.0,1682.34638418107,quantified,1,1682.34638418107,5.0,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
20,26158-P-12,26158-P-12,wine_mef,Lab-26-2052,26158,Isoamil Acetato,1544.59554433912,5.0,1544.59554433912,quantified,1,1544.59554433912,5.0,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
22,26158-P-13,26158-P-13,wine_mef,Lab-26-2054,26158,Isoamil Acetato,1345.70106005835,5.0,1345.70106005835,quantified,1,1345.70106005835,5.0,undiluted_wine_sample,,,observed,,,2026-04-13 08:00:00,163.0,,,
23,26159-P-01,26159-P-01,wine_mef,Lab-26-2055,26159,Isoamil Acetato,NQ,5.0,,NQ,1,,5.0,undiluted_wine_sample,,,left_censored,0.0,5.0,2026-04-06 13:00:00,0.0,,,
25,26159-P-05,26159-P-05,wine_mef,Lab-26-2057,26159,Isoamil Acetato,121.104676919261,5.0,121.104676919261,quantified,1,121.104676919261,5.0,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
27,26159-P-09,26159-P-09,wine_mef,Lab-26-2059,26159,Isoamil Acetato,997.467214645297,5.0,997.467214645297,quantified,1,997.467214645297,5.0,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
29,26159-P-11,26159-P-11,wine_mef,Lab-26-2061,26159,Isoamil Acetato,1145.18146160337,5.0,1145.18146160337,quantified,1,1145.18146160337,5.0,undiluted_wine_sample,,,observed,,,2026-04-12 08:00:00,139.0,,,
31,26159-P-12,26159-P-12,wine_mef,Lab-26-2063,26159,Isoamil Acetato,1214.23807005452,5.0,1214.23807005452,quantified,1,1214.23807005452,5.0,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
33,26159-P-15,26159-P-15,wine_mef,Lab-26-2065,26159,Isoamil Acetato,1159.95513391424,5.0,1159.95513391424,quantified,1,1159.95513391424,5.0,undiluted_wine_sample,,,observed,,,2026-04-15 08:00:00,211.0,,,
34,26210-P-01,26210-P-01,wine_mef,Lab-26-2066,26210,Isoamil Acetato,NQ,5.0,,NQ,1,,5.0,undiluted_wine_sample,,,left_censored,0.0,5.0,2026-04-17 16:00:00,0.0,,,
36,26210-P-05,26210-P-05,wine_mef,Lab-26-2068,26210,Isoamil Acetato,531.2372339948845,5.0,531.2372339948845,quantified,1,531.2372339948845,5.0,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
38,26210-P-08,26210-P-08,wine_mef,Lab-26-2070,26210,Isoamil Acetato,880.484465501079,5.0,880.484465501079,quantified,1,880.484465501079,5.0,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
40,26210-P-10,26210-P-10,wine_mef,Lab-26-2072,26210,Isoamil Acetato,874.53283000302,5.0,874.53283000302,quantified,1,874.53283000302,5.0,undiluted_wine_sample,,,observed,,,2026-04-22 08:00:00,112.0,,,
42,26210-P-12,26210-P-12,wine_mef,Lab-26-2074,26210,Isoamil Acetato,855.280434442299,5.0,855.280434442299,quantified,1,855.280434442299,5.0,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
44,26210-P-13,26210-P-13,wine_mef,Lab-26-2076,26210,Isoamil Acetato,1002.6188022278254,5.0,1002.6188022278254,quantified,1,1002.6188022278254,5.0,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
46,26210-P-14,26210-P-14,wine_mef,Lab-26-2078,26210,Isoamil Acetato,913.78459643876,5.0,913.78459643876,quantified,1,913.78459643876,5.0,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
47,26211-P-01,26211-P-01,wine_mef,Lab-26-2079,26211,Isoamil Acetato,NQ,5.0,,NQ,1,,5.0,undiluted_wine_sample,,,left_censored,0.0,5.0,2026-04-17 16:00:00,0.0,,,
49,26211-P-05,26211-P-05,wine_mef,Lab-26-2081,26211,Isoamil Acetato,137.58033128115,5.0,137.58033128115,quantified,1,137.58033128115,5.0,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
51,26211-P-08,26211-P-08,wine_mef,Lab-26-2083,26211,Isoamil Acetato,557.340500398434,5.0,557.340500398434,quantified,1,557.340500398434,5.0,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
53,26211-P-10,26211-P-10,wine_mef,Lab-26-2085,26211,Isoamil Acetato,543.460428103363,5.0,543.460428103363,quantified,1,543.460428103363,5.0,undiluted_wine_sample,,,observed,,,2026-04-22 08:00:00,112.0,,,
55,26211-P-12,26211-P-12,wine_mef,Lab-26-2087,26211,Isoamil Acetato,2731.60672911657,5.0,2731.60672911657,quantified,1,2731.60672911657,5.0,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
57,26211-P-13,26211-P-13,wine_mef,Lab-26-2089,26211,Isoamil Acetato,707.176939066057,5.0,707.176939066057,quantified,1,707.176939066057,5.0,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
59,26211-P-14,26211-P-14,wine_mef,Lab-26-2091,26211,Isoamil Acetato,859.626162111899,5.0,859.626162111899,quantified,1,859.626162111899,5.0,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
60,26212-P-01,26212-P-01,wine_mef,Lab-26-2092,26212,Isoamil Acetato,NQ,5.0,,NQ,1,,5.0,undiluted_wine_sample,,,left_censored,0.0,5.0,2026-04-17 16:00:00,0.0,,,
62,26212-P-05,26212-P-05,wine_mef,Lab-26-2094,26212,Isoamil Acetato,159.611346153438,5.0,159.611346153438,quantified,1,159.611346153438,5.0,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
64,26212-P-06,26212-P-06,wine_mef,Lab-26-2096,26212,Isoamil Acetato,863.462140200962,5.0,863.462140200962,quantified,1,863.462140200962,5.0,undiluted_wine_sample,,,observed,,,2026-04-20 08:00:00,64.0,,,
66,26212-P-08,26212-P-08,wine_mef,Lab-26-2098,26212,Isoamil Acetato,1115.21397435581,5.0,1115.21397435581,quantified,1,1115.21397435581,5.0,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
68,26212-P-11,26212-P-11,wine_mef,Lab-26-2100,26212,Isoamil Acetato,976.2629941951654,5.0,976.2629941951654,quantified,1,976.2629941951654,5.0,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
70,26212-P-12,26212-P-12,wine_mef,Lab-26-2102,26212,Isoamil Acetato,961.214474929614,5.0,961.214474929614,quantified,1,961.214474929614,5.0,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
72,26212-P-13,26212-P-13,wine_mef,Lab-26-2104,26212,Isoamil Acetato,870.367259426642,5.0,870.367259426642,quantified,1,870.367259426642,5.0,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
1,26157-P-01,26157-P-01,wine_mef,Lab-26-2033,26157,Hexil Acetato,0.838047772075084,0.0125,0.838047772075084,quantified,1,0.838047772075084,0.0125,undiluted_wine_sample,,,observed,,,2026-04-06 13:00:00,0.0,,,
3,26157-P-05,26157-P-05,wine_mef,Lab-26-2035,26157,Hexil Acetato,155.605485725609,0.0125,155.605485725609,quantified,1,155.605485725609,0.0125,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
5,26157-P-08,26157-P-08,wine_mef,Lab-26-2037,26157,Hexil Acetato,296.49009202075,0.0125,296.49009202075,quantified,1,296.49009202075,0.0125,undiluted_wine_sample,,,observed,,,2026-04-10 08:00:00,91.0,,,
7,26157-P-10,26157-P-10,wine_mef,Lab-26-2039,26157,Hexil Acetato,233.421649178012,0.0125,233.421649178012,quantified,1,233.421649178012,0.0125,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
9,26157-P-12,26157-P-12,wine_mef,Lab-26-2041,26157,Hexil Acetato,237.804354426785,0.0125,237.804354426785,quantified,1,237.804354426785,0.0125,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
11,26157-P-13,26157-P-13,wine_mef,Lab-26-2043,26157,Hexil Acetato,213.447159758645,0.0125,213.447159758645,quantified,1,213.447159758645,0.0125,undiluted_wine_sample,,,observed,,,2026-04-13 08:00:00,163.0,,,
12,26158-P-01,26158-P-01,wine_mef,Lab-26-2044,26158,Hexil Acetato,0.9743841642467125,0.0125,0.9743841642467125,quantified,1,0.9743841642467125,0.0125,undiluted_wine_sample,,,observed,,,2026-04-06 13:00:00,0.0,,,
14,26158-P-05,26158-P-05,wine_mef,Lab-26-2046,26158,Hexil Acetato,202.960877654901,0.0125,202.960877654901,quantified,1,202.960877654901,0.0125,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
16,26158-P-08,26158-P-08,wine_mef,Lab-26-2048,26158,Hexil Acetato,279.940921366558,0.0125,279.940921366558,quantified,1,279.940921366558,0.0125,undiluted_wine_sample,,,observed,,,2026-04-10 08:00:00,91.0,,,
18,26158-P-10,26158-P-10,wine_mef,Lab-26-2050,26158,Hexil Acetato,256.975634580983,0.0125,256.975634580983,quantified,1,256.975634580983,0.0125,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
20,26158-P-12,26158-P-12,wine_mef,Lab-26-2052,26158,Hexil Acetato,227.1883779749445,0.0125,227.1883779749445,quantified,1,227.1883779749445,0.0125,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
22,26158-P-13,26158-P-13,wine_mef,Lab-26-2054,26158,Hexil Acetato,175.766009232117,0.0125,175.766009232117,quantified,1,175.766009232117,0.0125,undiluted_wine_sample,,,observed,,,2026-04-13 08:00:00,163.0,,,
23,26159-P-01,26159-P-01,wine_mef,Lab-26-2055,26159,Hexil Acetato,1.44333514836591,0.0125,1.44333514836591,quantified,1,1.44333514836591,0.0125,undiluted_wine_sample,,,observed,,,2026-04-06 13:00:00,0.0,,,
25,26159-P-05,26159-P-05,wine_mef,Lab-26-2057,26159,Hexil Acetato,71.9457039033856,0.0125,71.9457039033856,quantified,1,71.9457039033856,0.0125,undiluted_wine_sample,,,observed,,,2026-04-08 15:00:00,50.0,,,
27,26159-P-09,26159-P-09,wine_mef,Lab-26-2059,26159,Hexil Acetato,181.441279648338,0.0125,181.441279648338,quantified,1,181.441279648338,0.0125,undiluted_wine_sample,,,observed,,,2026-04-11 08:00:00,115.0,,,
29,26159-P-11,26159-P-11,wine_mef,Lab-26-2061,26159,Hexil Acetato,187.85122941154,0.0125,187.85122941154,quantified,1,187.85122941154,0.0125,undiluted_wine_sample,,,observed,,,2026-04-12 08:00:00,139.0,,,
31,26159-P-12,26159-P-12,wine_mef,Lab-26-2063,26159,Hexil Acetato,202.738290021068,0.0125,202.738290021068,quantified,1,202.738290021068,0.0125,undiluted_wine_sample,,,observed,,,2026-04-12 15:00:00,146.0,,,
33,26159-P-15,26159-P-15,wine_mef,Lab-26-2065,26159,Hexil Acetato,163.303295175835,0.0125,163.303295175835,quantified,1,163.303295175835,0.0125,undiluted_wine_sample,,,observed,,,2026-04-15 08:00:00,211.0,,,
34,26210-P-01,26210-P-01,wine_mef,Lab-26-2066,26210,Hexil Acetato,1.14667667754608,0.0125,1.14667667754608,quantified,1,1.14667667754608,0.0125,undiluted_wine_sample,,,observed,,,2026-04-17 16:00:00,0.0,,,
36,26210-P-05,26210-P-05,wine_mef,Lab-26-2068,26210,Hexil Acetato,128.39563964894052,0.0125,128.39563964894052,quantified,1,128.39563964894052,0.0125,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
38,26210-P-08,26210-P-08,wine_mef,Lab-26-2070,26210,Hexil Acetato,164.974932438879,0.0125,164.974932438879,quantified,1,164.974932438879,0.0125,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
40,26210-P-10,26210-P-10,wine_mef,Lab-26-2072,26210,Hexil Acetato,144.174193597204,0.0125,144.174193597204,quantified,1,144.174193597204,0.0125,undiluted_wine_sample,,,observed,,,2026-04-22 08:00:00,112.0,,,
42,26210-P-12,26210-P-12,wine_mef,Lab-26-2074,26210,Hexil Acetato,120.103337325442,0.0125,120.103337325442,quantified,1,120.103337325442,0.0125,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
44,26210-P-13,26210-P-13,wine_mef,Lab-26-2076,26210,Hexil Acetato,145.470287415261,0.0125,145.470287415261,quantified,1,145.470287415261,0.0125,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
46,26210-P-14,26210-P-14,wine_mef,Lab-26-2078,26210,Hexil Acetato,129.273067124422,0.0125,129.273067124422,quantified,1,129.273067124422,0.0125,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
47,26211-P-01,26211-P-01,wine_mef,Lab-26-2079,26211,Hexil Acetato,0.885939846647974,0.0125,0.885939846647974,quantified,1,0.885939846647974,0.0125,undiluted_wine_sample,,,observed,,,2026-04-17 16:00:00,0.0,,,
49,26211-P-05,26211-P-05,wine_mef,Lab-26-2081,26211,Hexil Acetato,71.492280510467,0.0125,71.492280510467,quantified,1,71.492280510467,0.0125,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
51,26211-P-08,26211-P-08,wine_mef,Lab-26-2083,26211,Hexil Acetato,108.521393619773,0.0125,108.521393619773,quantified,1,108.521393619773,0.0125,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
53,26211-P-10,26211-P-10,wine_mef,Lab-26-2085,26211,Hexil Acetato,88.1082416387588,0.0125,88.1082416387588,quantified,1,88.1082416387588,0.0125,undiluted_wine_sample,,,observed,,,2026-04-22 08:00:00,112.0,,,
55,26211-P-12,26211-P-12,wine_mef,Lab-26-2087,26211,Hexil Acetato,420.70569988432,0.0125,420.70569988432,quantified,1,420.70569988432,0.0125,undiluted_wine_sample,,,observed,,,2026-04-23 16:00:00,144.0,,,
57,26211-P-13,26211-P-13,wine_mef,Lab-26-2089,26211,Hexil Acetato,94.1613825882409,0.0125,94.1613825882409,quantified,1,94.1613825882409,0.0125,undiluted_wine_sample,,,observed,,,2026-04-24 08:00:00,160.0,,,
59,26211-P-14,26211-P-14,wine_mef,Lab-26-2091,26211,Hexil Acetato,118.173729978691,0.0125,118.173729978691,quantified,1,118.173729978691,0.0125,undiluted_wine_sample,,,observed,,,2026-04-25 11:00:00,187.0,,,
60,26212-P-01,26212-P-01,wine_mef,Lab-26-2092,26212,Hexil Acetato,0.899276515315786,0.0125,0.899276515315786,quantified,1,0.899276515315786,0.0125,undiluted_wine_sample,,,observed,,,2026-04-17 16:00:00,0.0,,,
62,26212-P-05,26212-P-05,wine_mef,Lab-26-2094,26212,Hexil Acetato,78.8471318216689,0.0125,78.8471318216689,quantified,1,78.8471318216689,0.0125,undiluted_wine_sample,,,observed,,,2026-04-19 16:00:00,48.0,,,
64,26212-P-06,26212-P-06,wine_mef,Lab-26-2096,26212,Hexil Acetato,164.95601738239,0.0125,164.95601738239,quantified,1,164.95601738239,0.0125,undiluted_wine_sample,,,observed,,,2026-04-20 08:00:00,64.0,,,
66,26212-P-08,26212-P-08,wine_mef,Lab-26-2098,26212,Hexil Acetato,161.880553621174,0.0125,161.880553621174,quantified,1,161.880553621174,0.0125,undiluted_wine_sample,,,observed,,,2026-04-21 08:00:00,88.0,,,
