Código muestra,Fecha-hora,Densidad,Brix,pH,DO,Oculyze Concentration,Oculyze Viability,Oculyze Budding,Y15 Glucosa-Fructosa,Y15 Glucosa,Y15 Fructosa,Y15 PAN,Y15 Amonio,Y15 Glicerol,Y15 Acetico,Y15 Piruvic,Y15 Acetaldehido,Cf Alcolyzer (% v/v),Cf Alcolyzer Real (% v/v),Revisado por,Observaciones,experiment_id,timestamp_original,timestamp,date_normalization,ethanol_real_original_percent_vv,ethanol_correction,lot,reactor,condition,replicate,protocol,initial_volume_l,yeast,sampling_start,time_h,active_end,calibration_include,process_phase
26134-P-11,2026-03-30 16:00:00,1001.7,1.1,,,41.94,41.55,15.93,14.84,2.33,12.51,31.0,0.0,5.77,,26.0,127.0,10.03,9.729999999999999,,,26134,2026-03-30 16:00:00,2026-03-30 16:00:00,unchanged,9.729999999999999,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,120.0,2026-04-02T08:00:00,True,active_process
26134-P-12,2026-03-31 16:00:00,995.5,-0.5,,,53.53,45.78,9.18,2.44,0.07,2.37,25.0,0.0,6.07,,14.0,120.0,10.96,10.66,,,26134,2026-03-31 16:00:00,2026-03-31 16:00:00,unchanged,10.66,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,144.0,2026-04-02T08:00:00,True,active_process
26134-P-13,2026-04-01 08:00:00,993.7,-1.1,,,59.29,55.53,6.48,0.08,0.01,0.07,26.0,0.0,6.43,,12.0,115.0,11.07,10.77,,,26134,2026-04-01 08:00:00,2026-04-01 08:00:00,unchanged,10.77,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,160.0,2026-04-02T08:00:00,True,active_process
26134-P-14,2026-04-01 16:00:00,,,,,,,,,,,,,,,,,,10.69,,,26134,2026-04-01 16:00:00,2026-04-01 16:00:00,unchanged,10.69,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,168.0,2026-04-02T08:00:00,True,active_process
26134-P-15,2026-04-02 08:00:00,996.5,-0.6,,,66.67,65.21,9.22,0.01,0.02,-0.01,45.0,1.0,6.12,,7.0,106.0,10.99,10.69,,,26134,2026-04-02 08:00:00,2026-04-02 08:00:00,unchanged,10.69,none,Lote 1,TK-31,A,R1,A,230,Zymaflore X5,2026-03-25 16:00:00,184.0,2026-04-02T08:00:00,True,active_process
26135-P-01,2026-03-25 16:00:00,1068.1,17.2,,,6.87,4.42,3.91,159.39,79.11,80.27999999999999,98.0,178.0,0.95,,3.0,43.0,1.54,1.24,,,26135,2026-03-25 16:00:00,2026-03-25 16:00:00,unchanged,1.24,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,0.0,2026-04-02T08:00:00,True,active_process
26135-P-02,2026-03-26 08:00:00,1067.3,16.9,,,12.02,8.99,20.45,155.28,78.21,77.07000000000001,92.0,172.0,1.27,,16.0,111.0,1.64,1.3399999999999999,,,26135,2026-03-26 08:00:00,2026-03-26 08:00:00,unchanged,1.3399999999999999,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,16.0,2026-04-02T08:00:00,True,active_process
26135-P-03,2026-03-26 16:00:00,1064.4,16.3,,,25.73,22.93,30.3,146.42,73.68,72.73999999999998,77.0,158.0,1.62,,34.0,129.0,1.9,1.5999999999999999,,,26135,2026-03-26 16:00:00,2026-03-26 16:00:00,unchanged,1.5999999999999999,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,24.0,2026-04-02T08:00:00,True,active_process
26135-P-04,2026-03-27 08:00:00,1056.0,14.3,,,33.83,33.53,24.97,132.23,60.95,71.27999999999999,42.0,77.0,2.55,,52.0,131.0,2.94,2.64,,,26135,2026-03-27 08:00:00,2026-03-27 08:00:00,unchanged,2.64,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,40.0,2026-04-02T08:00:00,True,active_process
26135-P-05,2026-03-27 16:00:00,1051.1,13.1,,,47.73,45.24,26.07,119.51,53.2,66.31,35.0,35.0,3.31,,53.0,150.0,3.7,3.4000000000000004,,,26135,2026-03-27 16:00:00,2026-03-27 16:00:00,unchanged,3.4000000000000004,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,48.0,2026-04-02T08:00:00,True,active_process
26135-P-06,2026-03-28 08:00:00,1036.6,9.6,,,55.45,47.24,11.63,84.75,34.01,50.74,44.0,19.0,4.56,,29.0,139.0,5.5,5.2,,,26135,2026-03-28 08:00:00,2026-03-28 08:00:00,unchanged,5.2,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,64.0,2026-04-02T08:00:00,True,active_process
26135-P-07,2026-03-28 16:00:00,1030.2,8.2,,,53.84,46.47,15.26,78.37,29.63,48.74000000000001,38.0,6.0,4.45,,22.0,140.0,6.18,5.88,,,26135,2026-03-28 16:00:00,2026-03-28 16:00:00,unchanged,5.88,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,72.0,2026-04-02T08:00:00,True,active_process
26135-P-08,2026-03-29 08:00:00,1020.0,5.5,,,51.0,49.16,12.2,51.64,16.07,35.57,34.0,0.0,5.35,,11.0,129.0,7.12,6.82,,,26135,2026-03-29 08:00:00,2026-03-29 08:00:00,unchanged,6.82,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,88.0,2026-04-02T08:00:00,True,active_process
26135-P-09,2026-03-29 16:00:00,1015.8,4.6,,,48.54,46.47,12.5,44.29,12.9,31.39,32.0,0.0,5.2,,2.0,126.0,8.22,7.920000000000001,,,26135,2026-03-29 16:00:00,2026-03-29 16:00:00,unchanged,7.920000000000001,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,96.0,2026-04-02T08:00:00,True,active_process
26135-P-10,2026-03-30 08:00:00,1007.4,2.4,,,17.97,17.78,18.59,24.8,5.22,19.580000000000002,28.0,0.0,5.77,,9.0,125.0,9.25,8.95,,,26135,2026-03-30 08:00:00,2026-03-30 08:00:00,unchanged,8.95,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,112.0,2026-04-02T08:00:00,True,active_process
26135-P-11,2026-03-30 16:00:00,1003.6,1.6,,,46.31,45.39,22.55,19.29,3.29,16.0,32.0,1.0,5.52,,29.0,124.0,9.6,9.299999999999999,,,26135,2026-03-30 16:00:00,2026-03-30 16:00:00,unchanged,9.299999999999999,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,120.0,2026-04-02T08:00:00,True,active_process
26135-P-12,2026-03-31 16:00:00,996.5,-0.3,,,51.08,45.24,6.77,4.27,0.19,4.079999999999999,30.0,0.0,5.75,,10.0,118.0,10.83,10.53,,,26135,2026-03-31 16:00:00,2026-03-31 16:00:00,unchanged,10.53,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,144.0,2026-04-02T08:00:00,True,active_process
26135-P-13,2026-04-01 08:00:00,993.6,-1.2,,,52.38,50.38,7.92,0.32,0.02,0.3,29.0,0.0,6.13,,7.0,117.0,11.05,10.75,,,26135,2026-04-01 08:00:00,2026-04-01 08:00:00,unchanged,10.75,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,160.0,2026-04-02T08:00:00,True,active_process
26135-P-14,2026-04-01 16:00:00,,,,,,,,,,,,,,,,,,10.809999999999999,,,26135,2026-04-01 16:00:00,2026-04-01 16:00:00,unchanged,10.809999999999999,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,168.0,2026-04-02T08:00:00,True,active_process
26135-P-15,2026-04-02 08:00:00,996.4,-0.6,,,48.0,45.85,7.52,0.01,0.02,-0.01,38.0,0.0,6.13,,5.0,106.0,11.11,10.809999999999999,,,26135,2026-04-02 08:00:00,2026-04-02 08:00:00,unchanged,10.809999999999999,none,Lote 1,TK-32,A,R2,A,230,Zymaflore X5,2026-03-25 16:00:00,184.0,2026-04-02T08:00:00,True,active_process
26136-P-01,2026-03-25 16:00:00,1068.1,17.2,,,8.33,4.92,6.45,153.68,77.94,75.74000000000001,98.0,178.0,1.08,,3.0,43.0,1.55,1.25,,,26136,2026-03-25 16:00:00,2026-03-25 16:00:00,unchanged,1.25,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,0.0,2026-04-02T08:00:00,True,active_process
26136-P-02,2026-03-26 08:00:00,1064.2,16.1,,,21.37,19.2,19.28,148.64,73.12,75.51999999999998,66.0,147.0,1.73,,36.0,132.0,1.95,1.65,,,26136,2026-03-26 08:00:00,2026-03-26 08:00:00,unchanged,1.65,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,16.0,2026-04-02T08:00:00,True,active_process
26136-P-03,2026-03-26 16:00:00,1060.7,15.3,,,28.15,25.65,31.11,146.68,69.3,77.38000000000001,58.0,126.0,2.11,,48.0,133.0,2.27,1.97,,,26136,2026-03-26 16:00:00,2026-03-26 16:00:00,unchanged,1.97,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,24.0,2026-04-02T08:00:00,True,active_process
26136-P-04,2026-03-27 08:00:00,1044.4,11.5,,,47.27,47.24,16.17,106.59,43.71,62.88,29.0,0.0,3.54,,50.0,132.0,4.35,4.05,,,26136,2026-03-27 08:00:00,2026-03-27 08:00:00,unchanged,4.05,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,40.0,2026-04-02T08:00:00,True,active_process
26136-P-05,2026-03-27 16:00:00,1038.1,10.1,,,52.38,50.08,20.16,89.04,35.79,53.25000000000001,25.0,0.0,4.1,,48.0,133.0,5.09,4.79,,,26136,2026-03-27 16:00:00,2026-03-27 16:00:00,unchanged,4.79,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,48.0,2026-04-02T08:00:00,True,active_process
26136-P-06,2026-03-28 08:00:00,1021.3,5.8,,,59.98,53.15,18.05,52.45,16.35,36.1,35.0,0.0,5.6,,28.0,156.0,7.64,7.34,,,26136,2026-03-28 08:00:00,2026-03-28 08:00:00,unchanged,7.34,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,64.0,2026-04-02T08:00:00,True,active_process
26136-P-07,2026-03-28 16:00:00,1014.8,4.4,,,62.14,53.46,11.87,45.09,12.67,32.42,32.0,0.0,5.14,,11.0,130.0,8.18,7.88,,,26136,2026-03-28 16:00:00,2026-03-28 16:00:00,unchanged,7.88,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,72.0,2026-04-02T08:00:00,True,active_process
26136-P-08,2026-03-29 08:00:00,1009.4,2.8,,,57.14,54.22,9.81,27.12,6.12,21.0,30.0,0.0,5.87,,5.0,121.0,8.99,8.69,,,26136,2026-03-29 08:00:00,2026-03-29 08:00:00,unchanged,8.69,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,88.0,2026-04-02T08:00:00,True,active_process
26136-P-09,2026-03-29 16:00:00,1006.5,2.2,,,49.46,46.85,8.54,22.89,4.62,18.27,30.0,0.0,5.55,,2.0,120.0,9.52,9.219999999999999,,,26136,2026-03-29 16:00:00,2026-03-29 16:00:00,unchanged,9.219999999999999,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,96.0,2026-04-02T08:00:00,True,active_process
26136-P-10,2026-03-30 16:00:00,999.4,0.4,,,35.33,34.56,17.17,9.52,0.96,8.559999999999999,35.0,1.0,5.95,,22.0,118.0,10.34,10.04,,,26136,2026-03-30 16:00:00,2026-03-30 16:00:00,unchanged,10.04,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,120.0,2026-04-02T08:00:00,True,active_process
26136-P-11,2026-03-31 16:00:00,996.0,-0.5,,,47.39,42.93,2.11,2.53,0.1,2.4299999999999997,26.0,0.0,5.97,,15.0,119.0,10.92,10.62,,,26136,2026-03-31 16:00:00,2026-03-31 16:00:00,unchanged,10.62,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,144.0,2026-04-02T08:00:00,True,active_process
26136-P-12,2026-04-01 08:00:00,993.8,-1.1,,,48.92,45.62,8.95,0.34,0.01,0.33,27.0,0.0,6.29,,22.0,116.0,11.02,10.719999999999999,,,26136,2026-04-01 08:00:00,2026-04-01 08:00:00,unchanged,10.719999999999999,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,160.0,2026-04-02T08:00:00,True,active_process
26136-P-13,2026-04-01 16:00:00,,,,,,,,,,,,,,,,,,10.75,,,26136,2026-04-01 16:00:00,2026-04-01 16:00:00,unchanged,10.75,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,168.0,2026-04-02T08:00:00,True,active_process
26136-P-14,2026-04-02 08:00:00,996.4,-0.6,,,57.6,54.76,5.2,0.01,0.01,0.0,35.0,0.0,6.2,,10.0,108.0,11.05,10.75,,,26136,2026-04-02 08:00:00,2026-04-02 08:00:00,unchanged,10.75,none,Lote 1,TK-33,B,R1,B,230,Zymaflore X5,2026-03-25 16:00:00,184.0,2026-04-02T08:00:00,True,active_process
26157-P-01,2026-06-04 13:00:00,1067.6,17.1,,,10.37,10.29,4.44,155.08,77.68,77.4,97.0,172.0,1.04,,9.0,57.0,1.55,1.25,,,26157,2026-06-04 13:00:00,2026-04-06 13:00:00,parsed_or_day_month_corrected,1.25,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,0.0,2026-04-13T16:22:18,True,active_process
26157-P-02,2026-07-04 08:00:00,1066.2,16.6,,,13.25,13.25,31.59,147.17,73.84,73.32999999999998,73.0,157.0,1.2,,26.0,98.0,1.79,1.49,,,26157,2026-07-04 08:00:00,2026-04-07 08:00:00,parsed_or_day_month_corrected,1.49,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,19.0,2026-04-13T16:22:18,True,active_process
26157-P-03,2026-07-04 15:00:00,1063.4,16.0,,,21.27,21.27,35.38,149.84,71.98,77.86,66.0,151.0,1.2,,25.0,99.0,1.76,1.46,,,26157,2026-07-04 15:00:00,2026-04-07 15:00:00,parsed_or_day_month_corrected,1.46,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,26.0,2026-04-13T16:22:18,True,active_process
26157-P-04,2026-08-04 08:00:00,1054.7,13.9,,,32.8,15.21,15.46,131.57,59.48,72.09,37.0,70.0,2.85,,48.0,106.0,2.91,2.6100000000000003,,,26157,2026-08-04 08:00:00,2026-04-08 08:00:00,parsed_or_day_month_corrected,2.6100000000000003,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,43.0,2026-04-13T16:22:18,True,active_process
26157-P-05,2026-08-04 15:00:00,1049.8,12.8,,,39.09,39.02,31.83,117.81,51.96,65.85,29.0,27.0,3.51,,36.0,113.0,3.63,3.33,,,26157,2026-08-04 15:00:00,2026-04-08 15:00:00,parsed_or_day_month_corrected,3.33,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,50.0,2026-04-13T16:22:18,True,active_process
26157-P-06,2026-09-04 08:00:00,1037.1,9.6,,,50.92,50.46,21.72,88.24,37.08,51.16,42.0,24.0,4.5,,33.0,77.0,4.96,4.66,,,26157,2026-09-04 08:00:00,2026-04-09 08:00:00,parsed_or_day_month_corrected,4.66,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,67.0,2026-04-13T16:22:18,True,active_process
26157-P-07,2026-09-04 15:00:00,1031.8,8.3,,,52.61,53.53,19.56,77.61,28.02,49.59,28.0,6.0,4.73,,30.0,115.0,6.02,5.72,,,26157,2026-09-04 15:00:00,2026-04-09 15:00:00,parsed_or_day_month_corrected,5.72,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,74.0,2026-04-13T16:22:18,True,active_process
26157-P-08,2026-10-04 08:00:00,1020.3,5.5,,,69.66,68.89,20.95,48.77,15.5,33.27,23.0,0.0,5.38,,19.0,104.0,6.91,6.61,,,26157,2026-10-04 08:00:00,2026-04-10 08:00:00,parsed_or_day_month_corrected,6.61,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,91.0,2026-04-13T16:22:18,True,active_process
26157-P-09,2026-10-04 15:00:00,1016.3,4.7,,,67.36,64.75,14.6,43.29,12.96,30.33,22.0,0.0,5.48,,16.0,103.0,8.19,7.89,,,26157,2026-10-04 15:00:00,2026-04-10 15:00:00,parsed_or_day_month_corrected,7.89,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,98.0,2026-04-13T16:22:18,True,active_process
26157-P-10,2026-11-04 08:00:00,1005.3,1.9,,,36.48,34.25,6.11,20.13,3.16,16.97,58.0,0.0,6.18,,15.0,97.0,9.71,9.41,,,26157,2026-11-04 08:00:00,2026-04-11 08:00:00,parsed_or_day_month_corrected,9.41,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,115.0,2026-04-13T16:22:18,True,active_process
26157-P-11,2026-11-04 15:00:00,1001.4,0.9,,,51.69,49.0,10.7,16.64,2.13,14.510000000000002,25.0,0.0,6.06,,18.0,98.0,10.01,9.709999999999999,,,26157,2026-11-04 15:00:00,2026-04-11 15:00:00,parsed_or_day_month_corrected,9.709999999999999,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,122.0,2026-04-13T16:22:18,True,active_process
26157-P-12,2026-12-04 15:00:00,996.6,-0.3,,,36.02,33.49,6.61,3.44,0.13,3.31,38.0,0.0,6.2,,13.0,96.0,10.82,10.52,,,26157,2026-12-04 15:00:00,2026-04-12 15:00:00,parsed_or_day_month_corrected,10.52,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,146.0,2026-04-13T16:22:18,True,active_process
26157-P-13,13-04-2026 08:00,994.8,-0.8,,,45.93,44.47,14.38,0.4,0.05,0.35000000000000003,41.0,3.0,6.48,,15.0,114.0,10.88,10.58,,,26157,13-04-2026 08:00,2026-04-13 08:00:00,parsed_or_day_month_corrected,10.58,none,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,163.0,2026-04-13T16:22:18,True,active_process
26157-P-14,13-04-2026 15:00,,,,,,,,,,0.0,,,,,,,,0.0,,,26157,13-04-2026 15:00,2026-04-13 15:00:00,parsed_or_day_month_corrected,-0.3,owner_confirmed_negative_formula_artifact_set_to_zero,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,170.0,2026-04-13T16:22:18,True,active_process
26157-P-15,14-04-2026 08:00,,,,,,,,,,0.0,,,,,,,,0.0,,,26157,14-04-2026 08:00,2026-04-14 08:00:00,parsed_or_day_month_corrected,-0.3,owner_confirmed_negative_formula_artifact_set_to_zero,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,187.0,2026-04-13T16:22:18,False,postprocess_cooling
26157-P-16,14-04-2026 15:00,,,,,,,,,,0.0,,,,,,,,0.0,,,26157,14-04-2026 15:00,2026-04-14 15:00:00,parsed_or_day_month_corrected,-0.3,owner_confirmed_negative_formula_artifact_set_to_zero,Lote 2,TK-31,A,R3,A,230,Zymaflore X5,2026-04-06 13:00:00,194.0,2026-04-13T16:22:18,False,postprocess_cooling
26158-P-01,2026-06-04 13:00:00,1067.5,17.1,,,9.83,9.52,9.38,150.26,74.92,75.33999999999999,97.0,173.0,0.98,,6.0,55.0,1.55,1.25,,,26158,2026-06-04 13:00:00,2026-04-06 13:00:00,parsed_or_day_month_corrected,1.25,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,0.0,2026-04-13T16:24:31,True,active_process
26158-P-02,2026-07-04 08:00:00,1066.2,16.6,,,19.24,19.16,35.13,139.2,71.17,68.02999999999999,73.0,161.0,1.2,,31.0,112.0,1.62,1.32,,,26158,2026-07-04 08:00:00,2026-04-07 08:00:00,parsed_or_day_month_corrected,1.32,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,19.0,2026-04-13T16:24:31,True,active_process
26158-P-03,2026-07-04 15:00:00,1062.5,15.9,,,22.0,22.0,33.68,141.93,69.3,72.63000000000001,59.0,146.0,1.36,,35.0,118.0,2.01,1.7099999999999997,,,26158,2026-07-04 15:00:00,2026-04-07 15:00:00,parsed_or_day_month_corrected,1.7099999999999997,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,26.0,2026-04-13T16:24:31,True,active_process
26158-P-04,2026-08-04 08:00:00,1053.5,13.6,,,28.96,16.67,13.0,127.13,56.32,70.81,33.0,63.0,2.98,,52.0,122.0,3.15,2.85,,,26158,2026-08-04 08:00:00,2026-04-08 08:00:00,parsed_or_day_month_corrected,2.85,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,43.0,2026-04-13T16:24:31,True,active_process
26158-P-05,2026-08-04 15:00:00,1048.1,12.4,,,39.94,39.94,25.96,112.77,48.68,64.09,26.0,24.0,3.6,,36.0,135.0,2.94,2.64,,,26158,2026-08-04 15:00:00,2026-04-08 15:00:00,parsed_or_day_month_corrected,2.64,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,50.0,2026-04-13T16:24:31,True,active_process
26158-P-06,2026-09-04 08:00:00,1035.6,9.3,,,50.15,50.15,19.45,83.53,31.62,51.91,34.0,26.0,4.5,,35.0,96.0,4.89,4.59,,,26158,2026-09-04 08:00:00,2026-04-09 08:00:00,parsed_or_day_month_corrected,4.59,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,67.0,2026-04-13T16:24:31,True,active_process
26158-P-07,2026-09-04 15:00:00,1030.5,8.1,,,45.24,45.08,19.69,72.9,26.41,46.49000000000001,29.0,9.0,4.7,,31.0,145.0,6.22,5.92,,,26158,2026-09-04 15:00:00,2026-04-09 15:00:00,parsed_or_day_month_corrected,5.92,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,74.0,2026-04-13T16:24:31,True,active_process
26158-P-08,2026-10-04 08:00:00,1019.7,5.4,,,41.47,41.32,24.26,49.38,25.51,23.87,25.0,0.0,5.64,,33.0,121.0,7.33,7.03,,,26158,2026-10-04 08:00:00,2026-04-10 08:00:00,parsed_or_day_month_corrected,7.03,none,Lote 2,TK-32,A,R4,A,230,Zymaflore X5,2026-04-06 13:00:00,91.0,2026-04-13T16:24:31,True,active_process
