policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,tank_review_mapping,candidate_id,canonical_policy_hash,watermark,candidate_only_not_for_physical_execution
cold_early_N76,ethyl_acetate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,704.0990393396443,0.046758292056120254,10533.577321514073,1338.221116667968,2042.3201560076125,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4405.67512306777,0.9175533016132107,60676.35068008574,2042.3201560076125,6447.995279075383,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2247.1007977119634,0.7955412063161589,28829.083538764608,6447.995279075383,8695.096076787346,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4277.678194603766,1.6963618104076654,52479.27882006827,8695.096076787346,12972.774271391112,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,8,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1933.5750818619963,0.8225815954012603,24159.514328979712,12972.774271391112,14906.34935325311,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_acetate,9,98.0,170.0,72.0,0.0,-40.0,,unbounded_by_hardware,True,9370.965326599313,4.226493492116351,121596.60034232377,14906.34935325311,24277.314679852425,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.08164087488081252,0.01957926846570628,0.5660542394845146,0.0,0.08164087488081252,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,0.5317358001622037,0.05061713885386622,7.608206007874367,0.08164087488081252,0.6133766750430162,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.4144102398726505,0.02601050119752099,7.665964848337843,0.6133766750430162,1.0277869149156666,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.6246756185217814,0.036047046099190766,11.340582748041601,1.0277869149156666,1.6524625334374479,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5.5867447176441125,1.0051192708655363,68.34151068772286,1.6524625334374479,7.23920725108156,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,3.3667642871363084,1.725404915705134,30.38828074301844,7.23920725108156,10.605971538217869,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,7,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,6.940990594148022,3.235938480497442,53.34086361684089,10.605971538217869,17.54696213236589,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,8,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,3.2786128377826773,1.4455553705028787,22.656733787939686,17.54696213236589,20.825574970148566,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,ethyl_octanoate,9,98.0,170.0,72.0,0.0,-40.0,,unbounded_by_hardware,True,15.926373598223753,7.443711424626404,96.48187562565778,20.825574970148566,36.75194856837232,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,isoamyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.1421882200729496,0.009767811193301118,1.767842936984958,0.0,0.1421882200729496,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,isoamyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,2.3785566324204144,0.04009896847491081,34.734128952666346,0.1421882200729496,2.520744852493364,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,isoamyl_acetate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,2.3470066552225752,0.027482458919269884,33.5871235212918,2.520744852493364,4.867751507715939,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,isoamyl_acetate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,3.7364049381184326,0.04441777415763487,42.000508795205135,4.867751507715939,8.604156445834372,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
cold_early_N76,isoamyl_acetate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,37.219729140679576,2.3969064862931275,227.1651259968853,8.604156445834372,45.82388558651394,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N76_all_conservative,partially_harmonized,TK31,707410af2741165f,0a015af39a2bee3e071faf8b0125482e58bf7c56ccbf34366daca852b271a235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
