profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,objective_direct,objective_gap,objective_scale,objective_consistent,estimated_qN,estimated_betaG0,estimated_betaF0,estimated_qEG,estimated_qEF,estimated_iG,estimated_mu0,objective_increase,relative_objective_increase_pct
qN,0.006707754400058316,0.01341550880011663,6133.095803279456,262.2260443262694,True,optimal,,6133.095798188467,-5.090989361633547e-06,total,True,,0.745853308472422,0.2518118901516668,0.8738851576040192,0.4882764571420354,0.01200626786464731,0.0720361231929158,131.1130221631347,2.184495140100164
qN,0.010061631600087474,0.01341550880011663,6037.067542571275,70.16952290990776,True,optimal,,6037.06754237355,-1.9772505766013637e-07,total,True,,0.420707316247995,0.24943575796584969,0.5258840473417365,0.4554496947135395,0.017288552214875037,0.12347813890951784,35.08476145495388,0.5845528508568695
qN,0.01341550880011663,0.01341550880011663,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,,0.3950433495524203,0.283491875797895,0.5138650249139206,0.5022593701957047,0.01885776678736572,0.15683191413968361,0.0,0.0
qN,0.01676938600014579,0.01341550880011663,6034.376199815148,64.78683739765256,True,optimal,,6034.376187066618,-1.2748530025419313e-05,total,True,,0.3917103097820574,0.31416072529975514,0.5225580803177653,0.5467635542026176,0.019729814896109085,0.18616130213188542,32.39341869882628,0.5397119565344931
qN,0.020123263200174945,0.01341550880011663,6126.499598925771,249.0336356189,True,optimal,,6126.499596387119,-2.5386525521753356e-06,total,True,,0.40652359319935216,0.3502199490692205,0.5513829005657149,0.6029822047867323,0.02017619837963722,0.20782521506061685,124.51681780945,2.0745947189520404
qN,0.023477140400204103,0.01341550880011663,6234.955894311734,465.94622639082445,True,optimal,,6234.9558939132185,-3.985151124652475e-07,total,True,,0.39842660333609364,0.36484962992989506,0.54847009796799,0.6207405957342216,0.020661858111070387,0.23912984914207344,232.97311319541222,3.8816024919032017
qN,0.05366203520046652,0.01341550880011663,6510.017359304052,1016.0691563754608,True,optimal,,6510.017361748875,2.4448236217722297e-06,total,True,,0.3035167630277655,0.3507851877463535,0.44531623455546093,0.5654877537686388,0.023184990892071235,0.6256619818861318,508.0345781877304,8.464445779253634
betaG0,0.1,0.3950433495524203,6425.476415013871,846.9872677950989,True,optimal,,6425.476392386184,-2.26276870307629e-05,total,True,0.014280888380055454,,0.4617791854643855,0.329641576730631,0.45099490706847,0.010189036742576365,0.2005280166252876,423.49363389754944,7.055895515561326
betaG0,0.19855431028612258,0.3950433495524203,6153.723408124243,303.48125401584366,True,optimal,,6153.723407705727,-4.18515810451936e-07,total,True,0.014071181034373442,,0.34113170616388855,0.38112124123905167,0.4189953833658577,0.012543974564492896,0.19320342483786673,151.74062700792183,2.5281749805303386
betaG0,0.2971086205722452,0.3950433495524203,6031.164621890774,58.363681548904424,True,optimal,,6031.164621850159,-4.0614395402371883e-08,total,True,0.013848702571691667,,0.29738093665993376,0.44168844464937435,0.449292791795139,0.01604807835274101,0.17719760353536387,29.181840774452212,0.4862033404405172
betaG0,0.3950433495524203,0.3950433495524203,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,0.01341550880011663,,0.283491875797895,0.5138650249139206,0.5022593701957047,0.01885776678736572,0.15683191413968361,0.0,0.0
betaG0,0.3956629308583678,0.3950433495524203,6002.000238205679,0.034914178715553135,True,optimal,,6002.000238594635,3.8895632314961404e-07,total,True,0.013410616185231558,,0.2833104923670109,0.5150826845036025,0.5010675792740031,0.01888367892818536,0.15677224733897652,0.017457089357776567,0.0002908553722063442
betaG0,0.4942172411444904,0.3950433495524203,6021.739654462759,39.51374669287543,True,optimal,,6021.739654446468,-1.629086909815669e-08,total,True,0.012568730789166083,,0.2788823184409284,0.5950159543647497,0.5537968475914248,0.020460578465944873,0.13502718753966,19.756873346437715,0.32917244295664394
betaG0,0.592771551430613,0.3950433495524203,6061.660961470148,119.35636070765395,True,optimal,,6061.660960237534,-1.2326145224506035e-06,total,True,0.012125018359829945,,0.27882877936588224,0.6788578341281574,0.6042011982268057,0.02170676643316963,0.12080920920812532,59.678180353826974,0.9943077567897871
betaG0,0.6913258617167355,0.3950433495524203,6109.777845485294,215.59012873794563,True,optimal,,6109.7778496446945,4.159400305070449e-06,total,True,0.008854346124468468,,0.251335089073174,0.7738800272884099,0.5521491984515745,0.018514023123304413,0.09050033685353333,107.79506436897282,1.7959908966770441
betaG0,1.5801733982096813,0.3950433495524203,6331.2126070599925,658.4596518873423,True,optimal,,6331.21260678746,-2.7253281587036327e-07,total,True,0.007416508612738842,,0.2853892932120123,1.6713872210875576,0.7016007033168938,0.017961186794721692,0.05963795288269203,329.22982594367113,5.485351057312381
betaF0,0.1,0.283491875797895,6174.808890845056,345.65221945747,True,optimal,,6174.808890822696,-2.235992724308744e-08,total,True,0.011188202377395179,0.4852769995717923,,0.45313986447895566,0.34415253732914913,0.009825123646167628,0.14435173178273963,172.826109728735,2.879483597861817
betaF0,0.16601846377438603,0.283491875797895,6061.774018558971,119.58247488529923,True,optimal,,6061.774018290434,-2.685374056454748e-07,total,True,0.012235582834723232,0.4284588688124034,,0.4680189145541651,0.38408513500422825,0.012813832464615085,0.15465106904242223,59.79123744264962,0.9961914191218143
betaF0,0.23203692754877206,0.283491875797895,6013.067662295707,22.16976235877155,True,optimal,,6013.067662308838,1.3131284504197538e-08,total,True,0.012968246285539409,0.4027748041238642,,0.4931772597427003,0.44409461551427326,0.016128310455001838,0.15737491620593339,11.084881179385775,0.18468698734460673
betaF0,0.283491875797895,0.283491875797895,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,0.01341550880011663,0.3950433495524203,,0.5138650249139206,0.5022593701957047,0.01885776678736572,0.15683191413968361,0.0,0.0
betaF0,0.29805539132315806,0.283491875797895,6002.558232777569,1.150903322495651,True,optimal,,6002.558232425586,-3.5198354453314096e-07,total,True,0.013529036777252626,0.39399532037910484,,0.5193501884079149,0.5202375434314701,0.019655489220946912,0.1565146948550016,0.5754516612478255,0.00958769263814509
betaF0,0.3640738550975441,0.283491875797895,6016.211607464228,28.457652695813522,True,optimal,,6016.211581608453,-2.585577476565959e-05,total,True,0.013981259438530985,0.39324629783970855,,0.5409093687751947,0.6092899383065056,0.023450521270452426,0.1547737480375587,14.228826347906761,0.23706876322061543
betaF0,0.4300923188719301,0.283491875797895,6039.025344779707,74.08512732677082,True,optimal,,6039.02532607205,-1.8707656636252068e-05,total,True,0.014332548022220675,0.39627272785682394,,0.5560866526254117,0.709556197846348,0.027640082750687446,0.15313706773163316,37.04256366338541,0.6171721081894838
betaF0,0.4961107826463162,0.283491875797895,6067.424991430937,130.8844206292306,True,optimal,,6067.424972728458,-1.8702478882914875e-05,total,True,0.014589496715165818,0.4011012551048158,,0.5639135355586568,0.8228590099179325,0.032386059536140814,0.1519837652988159,65.4422103146153,1.0903431865968058
betaF0,1.13396750319158,0.283491875797895,6258.192353021107,512.4191438095713,True,optimal,,6258.192329683058,-2.3338048777077347e-05,total,True,0.014654121607520852,0.44240042723781947,,0.5346025223203891,2.3298263344000745,0.09588877960631781,0.15271208160262584,256.20957190478566,4.2687488659728
qEG,0.12846625622848015,0.5138650249139206,7534.270284510734,3064.5750067888257,True,optimal,,7534.270308483583,2.3972848794073798e-05,total,True,0.011131084213250842,0.1,0.3571374254337123,,0.5049081042114938,0.022378776028758506,0.24318446733720303,1532.2875033944129,25.52968842588748
qEG,0.25693251245696036,0.5138650249139206,6368.801381155057,733.6372000774718,True,optimal,,6368.801375998366,-5.156691258889623e-06,total,True,0.012771597752444243,0.2072417832453419,0.22203797187924593,,0.39735802052835417,0.018486994680229296,0.21864705086917183,366.8186000387359,6.111623665313324
qEG,0.3853987686854405,0.5138650249139206,6057.056163893536,110.1467655544293,True,optimal,,6057.056163337205,-5.56330633116886e-07,total,True,0.013501055735947882,0.30137917647007406,0.2418473415002417,,0.4318826435164586,0.01817020518782235,0.18677130952829468,55.07338277721465,0.9175864840947017
qEG,0.5138650249139206,0.5138650249139206,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,0.01341550880011663,0.3950433495524203,0.283491875797895,,0.5022593701957047,0.01885776678736572,0.15683191413968361,0.0,0.0
qEG,0.6423312811424008,0.5138650249139206,6030.324335596842,56.68310896104049,True,optimal,,6030.32428909113,-4.650571190722985e-05,total,True,0.012687978329651989,0.49416888394785713,0.31675730691544457,,0.5645256059418238,0.019134631784685302,0.1310594071229437,28.341554480520244,0.4722031954121824
qEG,0.770797537370881,0.5138650249139206,6086.698579718216,169.43159720378935,True,optimal,,6086.698579544582,-1.7363436199957505e-07,total,True,0.012392447488819945,0.5916649929760411,0.347148990059412,,0.6186928681236538,0.019619276830101767,0.11636393698674691,84.71579860189468,1.4114635394894985
qEG,0.899263793599361,0.5138650249139206,6155.040272187912,306.1149821431809,True,optimal,,6155.040272582302,3.943905539927073e-07,total,True,0.012463212535785344,0.6880637698763314,0.37769602540752645,,0.6730554433970469,0.02020350180393223,0.1078301069805024,153.05749107159045,2.5501154643953003
qEG,2.0554600996556824,0.5138650249139206,6396.957494018032,789.949425803421,True,optimal,,6396.957493927622,-9.041013981914148e-08,total,True,0.007481808497870694,1.6455126237628988,0.39182543859891794,,0.7142872919943526,0.017027365535386214,0.05856445844653715,394.9747129017105,6.580737188123828
qEF,0.12556484254892616,0.5022593701957047,6788.382753626478,1572.7999450203133,True,optimal,,6788.382898345382,0.00014471890426648315,total,True,0.010467106104888386,0.26777205755054984,0.1,0.3236477435903013,,0.001,0.18516157385760826,786.3999725101567,13.102336364315468
qEF,0.2511296850978524,0.5022593701957047,6288.398289813124,572.8310173936061,True,optimal,,6288.398010250894,-0.0002795622303892742,total,True,0.006005998805508961,0.5656248933453345,0.13329365520217573,0.6271956837535073,,0.0014182959877349522,0.08218904912144728,286.41550869680304,4.772014834796511
qEF,0.3766945276467785,0.5022593701957047,6029.883623899252,55.80168556586068,True,optimal,,6029.883623911434,1.2182681530248374e-08,total,True,0.01280416920929493,0.35925629532492576,0.2223134936302807,0.47131954371617757,,0.011977699500773003,0.16278027812805368,27.90084278293034,0.4648604269694523
qEF,0.5022593701957047,0.5022593701957047,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,0.01341550880011663,0.3950433495524203,0.283491875797895,0.5138650249139206,,0.01885776678736572,0.15683191413968361,0.0,0.0
qEF,0.6278242127446308,0.5022593701957047,6013.543799767805,23.12203730296642,True,optimal,,6013.543772613077,-2.715472783165751e-05,total,True,0.013785751949969258,0.42283833941786436,0.33640100963426306,0.5366348387010353,,0.02583248072297696,0.1534654197014271,11.56101865148321,0.19261999031148422
qEF,0.753389055293557,0.5022593701957047,6034.4888224306915,65.01208262874025,True,optimal,,6034.4888224379565,7.265043677762151e-09,total,True,0.01399844344453606,0.44350233057999916,0.3838851666646115,0.5473773388364196,,0.033114155933485295,0.15170663472932883,32.50604131437012,0.5415883800373759
qEF,0.8789538978424831,0.5022593701957047,6058.461366981497,112.95717173035155,True,optimal,,6058.461359805387,-7.1761105573386885e-06,total,True,0.014114658612887753,0.4572592383734681,0.4270544474292894,0.5492462988047229,,0.040405003039805,0.151071752801024,56.47858586517577,0.9409987986448572
qEF,2.0090374807828186,0.5022593701957047,6204.756153633194,405.54674503374554,True,optimal,,6204.756127540693,-2.6092500775121152e-05,total,True,0.01404244789671446,0.5011783276534122,0.7660309149983535,0.5289757607982704,,0.1,0.15025090479713363,202.77337251687277,3.378439757522239
iG,0.00471444169684143,0.01885776678736572,6080.003003467936,156.0404447032288,True,optimal,,6080.003003446161,-2.1775122149847448e-08,total,True,0.012180878680853978,0.389425970633163,0.21620444027991662,0.5152101914713159,0.3633899074508714,,0.14043773956339448,78.0202223516144,1.299907467197086
iG,0.00942888339368286,0.01885776678736572,6027.543348629541,51.121135026438424,True,optimal,,6027.543348479531,-1.5000932762632146e-07,total,True,0.012919076453447413,0.38274979514817764,0.24485423235376166,0.5113065365927436,0.41221658430511865,,0.14995251388979053,25.560567513219212,0.4258687244761663
iG,0.014143325090524288,0.01885776678736572,6006.988821741174,10.01208124970617,True,optimal,,6006.988821750142,8.967617759481072e-09,total,True,0.013249460778969067,0.3875014395762158,0.2658286327408077,0.5123329311054776,0.45747473190030863,,0.15443966863340566,5.006040624853085,0.08340644762599604
iG,0.01885776678736572,0.01885776678736572,6001.982781116321,0.0,True,theta_hat_baseline,,6001.982781116321,0.0,baseline,True,0.01341550880011663,0.3950433495524203,0.283491875797895,0.5138650249139206,0.5022593701957047,,0.15683191413968361,0.0,0.0
iG,0.023572208484207144,0.01885776678736572,6005.303915530427,6.642268828210945,True,optimal,,6005.303915125607,-4.0481972973793745e-07,total,True,0.013506394729910378,0.40347324527672845,0.29892862829261957,0.5152099074375075,0.5465602758772911,,0.1582092873719459,3.3211344141054724,0.05533395438178461
iG,0.028286650181048575,0.01885776678736572,6013.150180913633,22.3347995946242,True,optimal,,6013.1501804979725,-4.1566090658307076e-07,total,True,0.013550121244033207,0.41143268786020387,0.3133001524197855,0.5170701213823724,0.5891798412666535,,0.15909977977886178,11.1673997973121,0.18606184330363995
iG,0.03300109187789001,0.01885776678736572,6023.338817012504,42.71207179236444,True,optimal,,6023.338816746909,-2.655942807905376e-07,total,True,0.013585137209157673,0.4194145945436106,0.3264798347755532,0.5161014887969861,0.6361688531943157,,0.1595814030023938,21.35603589618222,0.35581634728065925
iG,0.07543106714946288,0.01885776678736572,6121.721913486012,239.4782647393822,True,optimal,,6121.7219135658515,7.983908290043473e-08,total,True,0.013517921742133867,0.46255676291073977,0.43922814812755673,0.5033755079344924,1.0817670751693915,,0.16050394095929868,119.7391323696911,1.994992933775471
